,Erro y=0.00,Erro y=0.01,Erro y=0.02,Erro y=0.03,Erro y=0.04,Erro y=0.05,Erro y=0.06,Erro y=0.07,Erro y=0.08,Erro y=0.09,Erro y=0.10,Erro y=0.11,Erro y=0.12,Erro y=0.13,Erro y=0.14,Erro y=0.15,Erro y=0.16,Erro y=0.17,Erro y=0.18,Erro y=0.19,Erro y=0.20,Erro y=0.21,Erro y=0.22,Erro y=0.23,Erro y=0.24,Erro y=0.25,Erro y=0.26,Erro y=0.27,Erro y=0.28,Erro y=0.29,Erro y=0.30,Erro y=0.31,Erro y=0.32,Erro y=0.33,Erro y=0.34,Erro y=0.35,Erro y=0.36,Erro y=0.37,Erro y=0.38,Erro y=0.39,Erro y=0.40,Erro y=0.41,Erro y=0.42,Erro y=0.43,Erro y=0.44,Erro y=0.45,Erro y=0.46,Erro y=0.47,Erro y=0.48,Erro y=0.49,Erro y=0.50,Erro y=0.50,Erro y=0.51,Erro y=0.52,Erro y=0.53,Erro y=0.54,Erro y=0.55,Erro y=0.56,Erro y=0.57,Erro y=0.58,Erro y=0.59,Erro y=0.60,Erro y=0.61,Erro y=0.62,Erro y=0.63,Erro y=0.64,Erro y=0.65,Erro y=0.66,Erro y=0.67,Erro y=0.68,Erro y=0.69,Erro y=0.70,Erro y=0.71,Erro y=0.72,Erro y=0.73,Erro y=0.74,Erro y=0.75,Erro y=0.76,Erro y=0.77,Erro y=0.78,Erro y=0.79,Erro y=0.80,Erro y=0.81,Erro y=0.82,Erro y=0.83,Erro y=0.84,Erro y=0.85,Erro y=0.86,Erro y=0.87,Erro y=0.88,Erro y=0.89,Erro y=0.90,Erro y=0.91,Erro y=0.92,Erro y=0.93,Erro y=0.94,Erro y=0.95,Erro y=0.96,Erro y=0.97,Erro y=0.98,Erro y=0.99
x=0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x=0.01,0.009999833334166664,0.6599725042602997,0.7929700903015716,0.7972099502690212,0.7709533347918246,0.7399977737195856,0.7110642478936481,0.68562679191436,0.6636992814298374,0.6449231316138677,0.628886696216831,0.6152148442401816,0.6035878654522151,0.5937391404732266,0.5854474023662511,0.5785286090814414,0.5728288612167978,0.5682186116867035,0.5645880463175992,0.5618434287292844,0.5599042097252545,0.5587007336814135,0.5581724090290754,0.5582662398505822,0.5589356395334543,0.5601394659226446,0.5618412314914845,0.5640084527144904,0.5666121108965986,0.5696262028391982,0.5730273643925926,0.5767945535223926,0.5809087822750061,0.5853528891659088,0.5901113451831628,0.595170087909095,0.6005163792985487,0.6061386834754822,0.6120265615684518,0.6181705811358807,0.6245622381616959,0.6311938899523136,0.6380586975536351,0.6451505765446363,0.6524641552624876,0.6599947396809855,0.6677382843058935,0.6756913685727562,0.6838511783391872,0.6922154921580247,0.7007826721031591,0.7095516589988229,0.7185219719780759,0.7276937123692511,0.737067571982359,0.7466448459429827,0.7564274503012698,0.7664179447306619,0.7766195607277487,0.7870362358343593,0.7976726545295156,0.8085342965868989,0.819627493868846,0.8309594967378673,0.8425385515205508,0.8543739907682755,0.8664763384397246,0.8788574326016266,0.8915305688326054,0.9045106682550731,0.9178144750579539,0.9314607895709762,0.9454707444940321,0.9598681338891721,0.9746798071699013,0.9899361437998356,1.0056716290635086,1.02192555756153,1.0387428996899721,1.0561753782973973,1.074282819490618,1.0931348655109074,1.112813172367103,1.1334142663056745,1.15505331072363,1.1778691547228104,1.2020312236519033,1.227749119631787,1.2552863165223378,1.2849802325233424,1.3172725932718292,1.3527570969381684,1.3922576172147048,1.4369635043366853,1.4886792288718005,1.5503223401865387,1.6270135616482135,1.728732742556534,1.8775855018106449,2.130132706199249,0.0054029330087473374
x=0.02,0.01999866669333308,1.826916260354621,1.6946932409002553,1.5949128779300148,1.5066062851748558,1.4279823501375417,1.3586544309083712,1.2977848080742531,1.2443145325287228,1.1972080329440609,1.155553436722862,1.1185825720296134,1.0856593429945556,1.0562592428483426,1.0299488576561089,1.0063681766442738,0.98521618103144,0.9662393842471619,0.9492227996659867,0.9339828300479905,0.9203616537316239,0.9082227702169083,0.8974474440149943,0.8879318467955529,0.8795847451577928,0.8723256173168862,0.866083109165416,0.8607937606673974,0.8564009490395881,0.8528540069374043,0.8501074828360736,0.8481205176822768,0.8468563172057472,0.8462817034079375,0.8463667319710537,0.8470843648682174,0.8484101894637326,0.850322176991622,0.8528004745819144,0.8558272260371671,0.8593864173996927,0.8634637440341739,0.8680464965127527,0.8731234630553479,0.8786848466665848,0.8847221954379447,0.8912283447621705,0.8981973704466273,0.9056245519216336,0.9135063449255791,0.9218403632168357,0.9306253690181259,0.9398612720467149,0.9495491371277721,0.9596912005325986,0.9702908953322661,0.9813528862149247,0.9928831143863333,1.0048888533634583,1.0173787766865592,1.0303630388235037,1.0438533708303062,1.0578631926752888,1.0724077445449973,1.087504239945889,1.1031720440196595,1.1194328812313212,1.1363110775058765,1.1538338430317687,1.1720316033831712,1.1909383884266183,1.2105922907886268,1.2310360086300363,1.2523174913191508,1.2744907116227553,1.2976165946657698,1.3217641427464724,1.347011806993407,1.3734491730579161,1.4011790503849408,1.4303200858313825,1.4610100666613126,1.4934101416620829,1.5277102824092559,1.5641364458252707,1.6029601108738365,1.644511191581208,1.689195853562369,1.7375216206963657,1.7901336074009442,1.8478682332607441,1.9118353172624107,1.98354792356952,2.065135718766341,2.1597102874677367,2.272017227132799,2.4096426184156745,2.5852800939641516,2.820811982808387,3.15300061199371,0.01080532572869623
x=0.03,0.02999550020249566,2.8083487314565985,2.5639657371813005,2.381132039575391,2.2325645850720495,2.1066569222111764,1.9977703346225193,1.9025255012689672,1.8185460410166352,1.7440190752838198,1.6775125032926486,1.6178767373654603,1.5641797830582136,1.515659742676035,1.4716887451572498,1.4317452223712483,1.395392496135747,1.3622621728583735,1.3320412042178287,1.3044617461178287,1.279293159044393,1.2563356539674935,1.2354152095256834,1.2163794773994452,1.199094460907275,1.183441802766648,1.1693165560883938,1.1566253413371979,1.1452848136476528,1.1352203813394077,1.12636512905174,1.1186589085909566,1.1120475680709787,1.1064822957590827,1.1019190596096657,1.0983181270739044,1.0956436526338544,1.09386332279341,1.0929480500929092,1.0928717091964115,1.093610909305822,1.09514479814202,1.097454893545274,1.1005249394208934,1.1043407833193213,1.1088902734149741,1.1141631730529744,1.1201510913820316,1.1268474288969845,1.134247336985855,1.142347690822161,1.1511470751709787,1.1606457828934802,1.1708458261454966,1.1817509604770011,1.1933667222572264,1.2057004800807112,1.2187615010597672,1.232561033186394,1.2471124052605913,1.2624311462430355,1.2785351263112648,1.2954447223958603,1.3131830115667307,1.331775996354687,1.3512528669622788,1.3716463063815518,1.3929928457484713,1.4153332788938924,1.4387131470907275,1.4631833075678196,1.488800602625153,1.5156286503610685,1.5437387834074736,1.5732111690717898,1.6041361534706788,1.636615884403524,1.6707662839771553,1.7067194639688603,1.7446267069416528,1.7846621776459348,1.8270275873896373,1.8719581166094041,1.9197300197854625,1.9706705108040266,2.0251707856006496,2.08370343048269,2.1468460680121026,2.215314039939124,2.290006442396365,2.3720722948045037,2.4630076913134906,2.5648015294347353,2.6801584766103925,2.8128451368060037,2.968228685337967,3.154093491462552,3.381765826899133,3.6672134292866447,4.030425639650589,0.016206637925076657
x=0.04,0.03998933418663416,3.670481883917203,3.371678941009086,3.1330729653668734,2.93584910480726,2.7682944361237314,2.623226508441626,2.4959808547290034,2.3833030993746958,2.2827857814902672,2.19257483701967,2.111204182508128,2.037493421619943,1.9704793360485797,1.9093673215052966,1.8534956656824695,1.8023086365522833,1.7553358730158688,1.7121764062983422,1.6724861452855782,1.6359679869049155,1.6023639366065974,1.5714487819777372,1.5430249763075667,1.5169184720664342,1.4929753056727644,1.4710587806876045,1.4510471309521964,1.4328315711951745,1.4163146624566156,1.4014089348826015,1.3880357221880126,1.3761241712140928,1.365610397148387,1.356436760595359,1.34855124713696,1.341906933568133,1.3364615278334029,1.3321769719807304,1.3290190993053743,1.3269573383707234,1.3259644578356458,1.326016347044255,1.327091828187677,1.3291724965629876,1.3322425860595644,1.3362888575198828,1.341300508068392,1.3472690998933847,1.3541885073152364,1.3620548812906061,1.370866630795448,1.3806244208083283,1.3913311868872815,1.4029921666058152,1.415614948394189,1.4292095386287007,1.4437884481330399,1.4593667996115562,1.4759624579358093,1.4935961856664546,1.5122918267285606,1.5320765217896983,1.5529809596413777,1.5750396697865403,1.5982913625282122,1.6227793241871846,1.6485518767143024,1.6756629129892708,1.7041725216221881,1.7341477182400156,1.7656633042386831,1.7988028790671915,1.8336600386261155,1.8703398007754424,1.9089603098943724,1.949654886801542,1.992574509360541,2.0378908344993842,2.085799906636116,2.136526744181675,2.190331060052374,2.2475144615535125,2.3084296008403222,2.3734919262506873,2.443194942499261,2.5181302624199113,2.599014282714538,2.6867241279355776,2.7823467071483465,2.8872464882903146,3.0031601121629135,3.132329343174868,3.277687683150715,3.4431181206947366,3.633792786505496,3.8565696300303873,4.120307998714482,4.435680901447393,4.8135245573758185,0.02160632947117007
x=0.05,0.04997916927067833,4.4479331204228805,4.119183184836305,3.8436177875729065,3.6094484497941886,3.4074272333915903,3.230840441674449,3.0748463542370423,2.935875777887858,2.811220187520739,2.6987689722310235,2.59684184646719,2.504078521289697,2.4193630219893176,2.341769733284199,2.2705237105879545,2.204970777574688,2.144554584440195,2.088798756815049,2.037292846381969,1.9896811662231282,1.945653842849577,1.9049395894257661,1.8672998275642065,1.832523874313156,1.800424976789926,1.770837026060142,1.7436118189257548,1.718616764476164,1.6957329538674648,1.6748535284792831,1.6558822945663814,1.638732542665603,1.6233260380016734,1.6095921544553726,1.5974671296900271,1.58689342306223,1.5778191611878798,1.570197658662517,1.5639870035747903,1.5591496992044265,1.5556523547398877,1.5534654190478865,1.5525629525260776,1.5529224329105806,1.5545245916227923,1.5573532778506012,1.5613953480883143,1.5666405793244733,1.5730816044816653,1.5807138690897384,1.5895356085242611,1.5995478454753589,1.6107544076372433,1.623161965934596,1.6367800939372517,1.6516213494686522,1.6677013797962268,1.6850390522146241,1.7036566123084276,1.7235798727251492,1.7448384359203062,1.7674659550768446,1.7915004382789887,1.816984602070539,1.8439662817934577,1.8724989076398781,1.902642057230319,1.9344620978441298,1.9680329342931413,2.003436882000022,2.040765689320912,2.0801217388039843,2.121619464256294,2.1653870296748696,2.2115683279241094,2.26032537237786,2.311841174777056,2.3663232289134566,2.4240077546944407,2.485164903814716,2.5501051910495978,2.6191875002448413,2.6928291300292,2.771518503127845,2.8558313814202765,2.946451728644722,3.0441987717855983,3.1500623616587613,3.265249446024901,3.3912453274668444,3.5298942428129307,3.6835042096778254,3.854979815020041,4.04798077688194,4.267087504801943,4.517915949280277,4.807046270149771,5.14150719884536,5.527459551310847,0.027003860402321576
x=0.06,0.059964006479444595,5.160493435773118,4.813488901854158,4.51275056743873,4.250881697778388,4.021105639373859,3.817839715050519,3.6366644002984945,3.474107543673465,3.3274223099338376,3.1944091303728825,3.0732838462813836,2.962581958695226,2.8610886915027036,2.767787107357715,2.681818932026667,2.602454486820583,2.529069284512657,2.461125594716936,2.398157776760636,2.339760508045838,2.285579263113906,2.2353025591054974,2.1886555991617285,2.145395030467948,2.1053045971530175,2.068191516190491,2.0338834409826743,2.002225905390637,1.9730801627191878,1.9463213511187722,1.9218369301653004,1.899525343872941,1.8792948737222521,1.8610626519299356,1.8447538105153334,1.8303007460152405,1.8176424831804188,1.8067241238235392,1.7974963693108739,1.7899151071022046,1.7839410533265947,1.7795394447003092,1.7766797741987734,1.7753355658281955,1.7754841846377076,1.7771066787966774,1.7801876511564887,1.7847151582401741,1.7906806350723803,1.7980788446897364,1.8069078515696133,1.8171690185941436,1.8288670275362509,1.842009923424936,1.8566091835279042,1.8726798120909829,1.8902404624066136,1.909313588260375,1.92992562733907,1.9521072197930094,1.9758934658485527,2.0013242271887726,2.028444477789697,2.057304711053538,2.0879614114640663,2.1204776006601516,2.1549234698538617,2.1913771130015594,2.229925378188142,2.270664858457726,2.313703048015107,2.35915969558644,2.4071683940984374,2.457878455150663,2.511457128592103,2.5680922426342354,2.6279953593502228,2.6914055654679423,2.7585940508481093,2.8298696693101584,2.9055857316313163,2.9861483526164756,3.072026768184228,3.163766160517311,3.2620036860823283,3.367488598259508,3.4811075938540776,3.603916776953868,3.7371818762580005,3.882428449690052,4.0415034836816055,4.216648460611259,4.410580490945381,4.626570461864449,4.868492212391552,5.140791025817858,5.448283512201662,5.795670612721992,6.186678315159438,0.032398690969935987
x=0.07,0.06994284733753277,5.820537237974725,5.461512436529603,5.142995906939524,4.8602021679232985,4.6082519557145885,4.382724436513574,4.1798380615041175,3.9964397780503607,3.829922490641309,3.6781295295034027,3.539268613219759,3.411840969891655,3.294584906288659,3.1864313388500936,3.086468731459264,2.9939153073423665,2.9080968766667046,2.828429020352442,2.7544026772040886,2.685572410073252,2.6215467962651187,2.561980513688406,2.5065677891615517,2.4550369472996327,2.4071458535332475,2.362678087350589,2.321439714914454,2.283256556062142,2.2479718610341526,2.215444328360138,2.185546408111891,2.1581628449395907,2.133189423495983,2.1105318854525428,2.0901049926544153,2.071831715305903,2.055642527627706,2.041474796340145,2.0292722497285736,2.0189845170375804,2.010566729598557,2.0039791764841284,1.9991870086537198,1.996159986548419,1.9948722669437786,1.9953022256038953,1.997432312921651,2.0012489402976703,2.006742395520339,2.0139067858753346,2.0227400081477867,2.033243745094722,2.0454234883703273,2.0592885882920333,2.0748523312516287,2.0921320460133295,2.1111492406114203,2.131929772076515,2.1545040517963665,2.178907289971354,2.2051797833766305,2.2333672515165315,2.2635212272817986,2.2956995094325645,2.3299666856744743,2.3663947368273575,2.40506373467475,2.44606264861549,2.4894902793252145,2.5354563414150473,2.584082721723415,2.635504945619526,2.6898738908203437,2.7473577970928655,2.808144631297657,2.8724448811232524,2.940494868319182,3.012560694207036,3.08894295790921,3.169982422503539,3.256066847830537,3.3476392626979194,3.4452080152918696,3.549359019359622,3.6607707034502366,3.7802322641981005,3.9086659044936023,4.047153764488228,4.1969701493251295,4.359619273102221,4.536877804530851,4.73083955872667,4.9439560211498055,5.179060073100904,5.439350490771169,5.728302007850868,6.04945468037569,6.406040943891725,6.800456241919221,0.03779028169545223
x=0.08,0.0799146939691727,6.436407576632101,6.069009723756713,5.737498489299655,5.438657155717004,5.16895163672259,4.924942087072906,4.703495722647398,4.501861128872256,4.317666481552412,4.148884047425832,3.993784301403775,3.850890629699714,3.7189388911596133,3.5968429184301978,3.483665701808573,3.378595539033288,3.2809263540489586,3.190041452144877,3.10540008563412,3.026526312604872,2.9529997271692054,2.884447719890198,2.8205389925686077,2.760978104421724,2.705500869130577,2.6538704562711373,2.6058740779563294,2.5613201634598664,2.520035942260189,2.481865370200708,2.446667344999667,2.4143141667051755,2.384690206311366,2.357690751974137,2.3332210073627726,2.3111952208748625,2.2915359279000267,2.2741732911821946,2.259044526712121,2.24609340457128,2.2352698158177264,2.2265293979127323,2.2198332123817974,2.2151474694240716,2.2124432950624904,2.2116965371896855,2.21288760753415,2.2160013571661294,2.221026983699241,2.2279579688360283,2.2367920453658563,2.2475311931632107,2.260181664164202,2.274754036729206,2.2912633002405185,2.309728971246465,2.3301752429590916,2.3526311704542593,2.377130894524995,2.4037139078182115,2.432425367660828,2.4633164608773543,2.496444826945147,2.531875047059744,2.569679208132318,2.6099375524651425,2.652739225911337,2.698183139799076,2.7463789648830605,2.797448279195266,2.8515258960485412,2.908761403781061,2.9693209553392315,3.0333893537540066,3.101172489301757,3.172900196052206,3.2488296100559104,3.329249129133655,3.4144830956476238,3.5048973492580604,3.600905826793969,3.7029784207828174,3.8116503456224535,3.9275332975089374,4.051328723913825,4.183843526676936,4.326008483889092,4.478899544153625,4.6437618452117775,4.822035711792644,5.015382803210353,5.225708743489661,5.455175667698997,5.706193952318018,5.9813772482047645,6.283440374707774,6.615019776778954,6.978408755969812,7.375233854954202,0.04317809342429073
x=0.09,0.08987854919801104,7.014071364486233,6.64060042601533,6.299309215258339,5.987952386614103,5.703929421690353,5.444568643918083,5.207311725646681,4.989810669730295,4.789964422933087,4.6059200714615764,4.436056143623187,4.278958622609884,4.133395418371979,3.9982920961097816,3.872710022938531,3.75582725253946,3.6469220676903826,3.5453589325646475,3.450576554426097,3.362077756543733,3.2794208896018784,3.2022125422232195,3.130101345203353,3.0627726955053287,2.9999442538195704,2.941362093357342,2.886797397746734,2.8360436228421526,2.7889140513872652,2.7452396812161957,2.704867397424713,2.6676583870280446,2.633486761330576,2.6022383568048206,2.5738096899123066,2.5481070451623884,2.5250456789327,2.5045491242787805,2.4865485842325468,2.4709824030052605,2.4577956061328528,2.446939501981169,2.438371338208356,2.4320540077965154,2.4279558001441175,2.426050193479221,2.4263156855320984,2.4287356600120105,2.4332982869822373,2.4399964557332097,2.4488277392280584,2.4597943896489673,2.472903365016962,2.4881663873022015,2.5056000328967363,2.525225856797492,2.5470705523552093,2.5711661489974493,2.5975502509444075,2.626266320620793,2.6573640112438413,2.6908995539578626,2.726936205915109,2.7655447669013857,2.806804173508941,2.8508021815124502,2.897636149058776,2.94741393560096,3.000254934267681,3.0562912586524438,3.115669108940948,3.178550346998899,3.24511431566589,3.3155599442145847,3.3901081899263903,3.469004875200453,3.552523990733192,3.640971548206156,3.7346900805959087,3.8340639044041254,3.9395252750467895,4.05156158272587,4.17072374824814,4.297635980904741,4.4330070441189156,4.577643123173546,4.732462277217135,4.898510244796603,5.0769769985168764,5.269212826254917,5.476741747914282,5.701268650206349,5.944674587549205,6.208992398741572,6.496352715301735,6.8088899852274505,7.14860181149272,7.517165977232088,7.91573986583682,0.04856158737976841
